t 	T_s 	t_s	T_raw	t_nth_d	 cooling_rate	
1.85k	116.2	1.85k	116.2	1.85k	-0.029	
1.85k	116.2	1.85k	116.2	1.85k	-0.029	
1.85k	116.2	1.85k	116.1	1.85k	-0.029	
1.85k	116.1	1.85k	116.1	1.85k	-0.030	
1.85k	116.1	1.85k	116.1	1.85k	-0.030	
1.86k	116.1	1.86k	116.1	1.86k	-0.031	
1.86k	116.0	1.86k	116.0	1.86k	-0.032	
1.86k	116.0	1.86k	116.0	1.86k	-0.032	
1.86k	116.0	1.86k	116.0	1.86k	-0.033	
1.86k	115.9	1.86k	115.9	1.86k	-0.034	
1.86k	115.9	1.86k	115.9	1.86k	-0.033	
1.86k	115.9	1.86k	115.9	1.86k	-0.034	
1.86k	115.8	1.86k	115.8	1.86k	-0.035	
1.86k	115.8	1.86k	115.8	1.86k	-0.035	
1.86k	115.8	1.86k	115.8	1.86k	-0.035	
1.87k	115.7	1.87k	115.7	1.87k	-0.036	
1.87k	115.7	1.87k	115.7	1.87k	-0.036	
1.87k	115.7	1.87k	115.6	1.87k	-0.037	
1.87k	115.6	1.87k	115.6	1.87k	-0.038	
1.87k	115.6	1.87k	115.6	1.87k	-0.038	
1.87k	115.5	1.87k	115.5	1.87k	-0.038	
1.87k	115.5	1.87k	115.5	1.87k	-0.039	
1.87k	115.5	1.87k	115.5	1.87k	-0.039	
1.87k	115.4	1.87k	115.4	1.87k	-0.039	
1.87k	115.4	1.87k	115.4	1.87k	-0.040	
1.88k	115.3	1.88k	115.4	1.88k	-0.040	
1.88k	115.3	1.88k	115.3	1.88k	-0.040	
1.88k	115.3	1.88k	115.3	1.88k	-0.041	
1.88k	115.2	1.88k	115.2	1.88k	-0.041	
1.88k	115.2	1.88k	115.2	1.88k	-0.041	
1.88k	115.1	1.88k	115.1	1.88k	-0.042	
1.88k	115.1	1.88k	115.1	1.88k	-0.042	
1.88k	115.1	1.88k	115.0	1.88k	-0.042	
1.88k	115.0	1.88k	115.0	1.88k	-0.043	
1.88k	115.0	1.88k	115.0	1.88k	-0.043	
1.89k	114.9	1.89k	114.9	1.89k	-0.043	
1.89k	114.9	1.89k	114.9	1.89k	-0.045	
1.89k	114.8	1.89k	114.8	1.89k	-0.044	
1.89k	114.8	1.89k	114.8	1.89k	-0.044	
1.89k	114.7	1.89k	114.8	1.89k	-0.046	
1.89k	114.7	1.89k	114.7	1.89k	-0.045	
1.89k	114.7	1.89k	114.6	1.89k	-0.046	
1.89k	114.6	1.89k	114.6	1.89k	-0.047	
1.89k	114.6	1.89k	114.6	1.89k	-0.046	
1.89k	114.5	1.89k	114.5	1.89k	-0.046	
1.90k	114.5	1.90k	114.5	1.90k	-0.048	
1.90k	114.4	1.90k	114.4	1.90k	-0.047	
1.90k	114.4	1.90k	114.4	1.90k	-0.047	
1.90k	114.3	1.90k	114.3	1.90k	-0.048	
1.90k	114.3	1.90k	114.3	1.90k	-0.048	
1.90k	114.2	1.90k	114.2	1.90k	-0.048	
1.90k	114.2	1.90k	114.2	1.90k	-0.050	
1.90k	114.1	1.90k	114.1	1.90k	-0.049	
1.90k	114.1	1.90k	114.1	1.90k	-0.049	
1.90k	114.0	1.90k	114.0	1.90k	-0.051	
1.91k	114.0	1.91k	114.0	1.91k	-0.050	
1.91k	113.9	1.91k	113.9	1.91k	-0.050	
1.91k	113.9	1.91k	113.9	1.91k	-0.052	
1.91k	113.8	1.91k	113.8	1.91k	-0.051	
1.91k	113.8	1.91k	113.8	1.91k	-0.051	
1.91k	113.7	1.91k	113.7	1.91k	-0.052	
1.91k	113.7	1.91k	113.7	1.91k	-0.052	
1.91k	113.6	1.91k	113.6	1.91k	-0.052	
1.91k	113.6	1.91k	113.6	1.91k	-0.053	
1.91k	113.5	1.91k	113.5	1.91k	-0.052	
1.92k	113.5	1.92k	113.5	1.92k	-0.052	
1.92k	113.4	1.92k	113.4	1.92k	-0.054	
1.92k	113.4	1.92k	113.4	1.92k	-0.053	
1.92k	113.3	1.92k	113.3	1.92k	-0.053	
1.92k	113.3	1.92k	113.3	1.92k	-0.054	
1.92k	113.2	1.92k	113.2	1.92k	-0.054	
1.92k	113.1	1.92k	113.1	1.92k	-0.054	
1.92k	113.1	1.92k	113.1	1.92k	-0.055	
1.92k	113.0	1.92k	113.1	1.92k	-0.054	
1.92k	113.0	1.92k	113.0	1.92k	-0.054	
1.93k	112.9	1.93k	112.9	1.93k	-0.055	
1.93k	112.9	1.93k	112.9	1.93k	-0.055	
1.93k	112.8	1.93k	112.8	1.93k	-0.055	
1.93k	112.8	1.93k	112.8	1.93k	-0.056	
1.93k	112.7	1.93k	112.7	1.93k	-0.055	
1.93k	112.7	1.93k	112.6	1.93k	-0.055	
1.93k	112.6	1.93k	112.6	1.93k	-0.056	
1.93k	112.5	1.93k	112.6	1.93k	-0.056	
1.93k	112.5	1.93k	112.5	1.93k	-0.056	
1.93k	112.4	1.93k	112.4	1.93k	-0.057	
1.94k	112.4	1.94k	112.4	1.94k	-0.056	
1.94k	112.3	1.94k	112.3	1.94k	-0.056	
1.94k	112.3	1.94k	112.3	1.94k	-0.057	
1.94k	112.2	1.94k	112.2	1.94k	-0.056	
1.94k	112.2	1.94k	112.1	1.94k	-0.056	
1.94k	112.1	1.94k	112.1	1.94k	-0.057	
1.94k	112.0	1.94k	112.1	1.94k	-0.057	
1.94k	112.0	1.94k	112.0	1.94k	-0.057	
1.94k	111.9	1.94k	111.9	1.94k	-0.058	
1.94k	111.9	1.94k	111.9	1.94k	-0.057	
1.95k	111.8	1.95k	111.8	1.95k	-0.057	
1.95k	111.8	1.95k	111.8	1.95k	-0.058	
1.95k	111.7	1.95k	111.7	1.95k	-0.057	
1.95k	111.6	1.95k	111.6	1.95k	-0.057	
1.95k	111.6	1.95k	111.6	1.95k	-0.058	
1.95k	111.5	1.95k	111.5	1.95k	-0.057	
1.95k	111.5	1.95k	111.5	1.95k	-0.057	
1.95k	111.4	1.95k	111.4	1.95k	-0.058	
1.95k	111.4	1.95k	111.4	1.95k	-0.057	
1.95k	111.3	1.95k	111.3	1.95k	-0.057	
1.96k	111.2	1.96k	111.2	1.96k	-0.058	
1.96k	111.2	1.96k	111.2	1.96k	-0.057	
1.96k	111.1	1.96k	111.1	1.96k	-0.057	
1.96k	111.1	1.96k	111.1	1.96k	-0.058	
1.96k	111.0	1.96k	111.0	1.96k	-0.057	
1.96k	110.9	1.96k	110.9	1.96k	-0.057	
1.96k	110.9	1.96k	110.9	1.96k	-0.057	
1.96k	110.8	1.96k	110.8	1.96k	-0.057	
1.96k	110.8	1.96k	110.8	1.96k	-0.058	
1.96k	110.7	1.96k	110.7	1.96k	-0.058	
1.97k	110.7	1.97k	110.7	1.97k	-0.058	
1.97k	110.6	1.97k	110.6	1.97k	-0.059	
1.97k	110.5	1.97k	110.5	1.97k	-0.059	
1.97k	110.5	1.97k	110.5	1.97k	-0.059	
1.97k	110.4	1.97k	110.4	1.97k	-0.060	
1.97k	110.4	1.97k	110.4	1.97k	-0.060	
1.97k	110.3	1.97k	110.3	1.97k	-0.059	
1.97k	110.2	1.97k	110.2	1.97k	-0.058	
1.97k	110.2	1.97k	110.2	1.97k	-0.059	
1.97k	110.1	1.97k	110.1	1.97k	-0.058	
1.98k	110.1	1.98k	110.1	1.98k	-0.058	
1.98k	110.0	1.98k	110.0	1.98k	-0.058	
1.98k	110.0	1.98k	109.9	1.98k	-0.059	
1.98k	109.9	1.98k	109.9	1.98k	-0.060	
1.98k	109.8	1.98k	109.9	1.98k	-0.061	
1.98k	109.8	1.98k	109.8	1.98k	-0.062	
1.98k	109.7	1.98k	109.7	1.98k	-0.064	
1.98k	109.6	1.98k	109.6	1.98k	-0.063	
1.98k	109.6	1.98k	109.6	1.98k	-0.063	
1.98k	109.5	1.98k	109.5	1.98k	-0.064	
1.99k	109.5	1.99k	109.5	1.99k	-0.062	
1.99k	109.4	1.99k	109.4	1.99k	-0.061	
1.99k	109.3	1.99k	109.3	1.99k	-0.060	
1.99k	109.3	1.99k	109.3	1.99k	-0.059	
1.99k	109.2	1.99k	109.2	1.99k	-0.058	
1.99k	109.2	1.99k	109.2	1.99k	-0.058	
1.99k	109.1	1.99k	109.1	1.99k	-0.058	
1.99k	109.0	1.99k	109.0	1.99k	-0.059	
1.99k	109.0	1.99k	109.0	1.99k	-0.060	
1.99k	108.9	1.99k	108.9	1.99k	-0.061	
2.00k	108.9	2.00k	108.9	2.00k	-0.062	
2.00k	108.8	2.00k	108.8	2.00k	-0.064	
2.00k	108.7	2.00k	108.7	2.00k	-0.063	
2.00k	108.7	2.00k	108.7	2.00k	-0.063	
2.00k	108.6	2.00k	108.6	2.00k	-0.064	
2.00k	108.5	2.00k	108.5	2.00k	-0.062	
2.00k	108.5	2.00k	108.5	2.00k	-0.062	
2.00k	108.4	2.00k	108.4	2.00k	-0.061	
2.00k	108.4	2.00k	108.4	2.00k	-0.059	
2.00k	108.3	2.00k	108.3	2.00k	-0.059	
2.01k	108.2	2.01k	108.2	2.01k	-0.059	
2.01k	108.2	2.01k	108.2	2.01k	-0.058	
2.01k	108.1	2.01k	108.1	2.01k	-0.058	
2.01k	108.1	2.01k	108.1	2.01k	-0.058	
2.01k	108.0	2.01k	108.0	2.01k	-0.058	
2.01k	107.9	2.01k	107.9	2.01k	-0.058	
2.01k	107.9	2.01k	107.9	2.01k	-0.058	
2.01k	107.8	2.01k	107.8	2.01k	-0.059	
2.01k	107.8	2.01k	107.8	2.01k	-0.059	
2.01k	107.7	2.01k	107.7	2.01k	-0.060	
2.02k	107.7	2.02k	107.7	2.02k	-0.061	
2.02k	107.6	2.02k	107.6	2.02k	-0.061	
2.02k	107.5	2.02k	107.5	2.02k	-0.063	
2.02k	107.5	2.02k	107.5	2.02k	-0.064	
2.02k	107.4	2.02k	107.4	2.02k	-0.064	
2.02k	107.3	2.02k	107.3	2.02k	-0.065	
2.02k	107.3	2.02k	107.3	2.02k	-0.065	
2.02k	107.2	2.02k	107.2	2.02k	-0.064	
2.02k	107.1	2.02k	107.1	2.02k	-0.064	
2.02k	107.1	2.02k	107.1	2.02k	-0.063	
2.03k	107.0	2.03k	107.0	2.03k	-0.062	
2.03k	107.0	2.03k	106.9	2.03k	-0.062	
2.03k	106.9	2.03k	106.9	2.03k	-0.061	
2.03k	106.8	2.03k	106.8	2.03k	-0.061	
2.03k	106.8	2.03k	106.8	2.03k	-0.062	
2.03k	106.7	2.03k	106.7	2.03k	-0.063	
2.03k	106.6	2.03k	106.7	2.03k	-0.065	
2.03k	106.6	2.03k	106.6	2.03k	-0.065	
2.03k	106.5	2.03k	106.5	2.03k	-0.068	
2.03k	106.4	2.03k	106.4	2.03k	-0.068	
2.04k	106.4	2.04k	106.4	2.04k	-0.069	
2.04k	106.3	2.04k	106.3	2.04k	-0.072	
2.04k	106.2	2.04k	106.2	2.04k	-0.071	
2.04k	106.2	2.04k	106.2	2.04k	-0.071	
2.04k	106.1	2.04k	106.1	2.04k	-0.072	
2.04k	106.0	2.04k	106.0	2.04k	-0.070	
2.04k	106.0	2.04k	106.0	2.04k	-0.069	
2.04k	105.9	2.04k	105.9	2.04k	-0.069	
2.04k	105.8	2.04k	105.8	2.04k	-0.067	
2.04k	105.8	2.04k	105.7	2.04k	-0.067	
2.05k	105.7	2.05k	105.7	2.05k	-0.065	
2.05k	105.6	2.05k	105.6	2.05k	-0.065	
2.05k	105.6	2.05k	105.5	2.05k	-0.063	
2.05k	105.5	2.05k	105.5	2.05k	-0.064	
2.05k	105.4	2.05k	105.4	2.05k	-0.065	
2.05k	105.4	2.05k	105.3	2.05k	-0.065	
2.05k	105.3	2.05k	105.3	2.05k	-0.066	
2.05k	105.2	2.05k	105.2	2.05k	-0.068	
2.05k	105.2	2.05k	105.2	2.05k	-0.068	
2.05k	105.1	2.05k	105.1	2.05k	-0.069	
2.06k	105.0	2.06k	105.0	2.06k	-0.069	
2.06k	105.0	2.06k	105.0	2.06k	-0.068	
2.06k	104.9	2.06k	104.9	2.06k	-0.068	
2.06k	104.8	2.06k	104.8	2.06k	-0.067	
2.06k	104.8	2.06k	104.8	2.06k	-0.066	
2.06k	104.7	2.06k	104.7	2.06k	-0.066	
2.06k	104.6	2.06k	104.6	2.06k	-0.065	
2.06k	104.6	2.06k	104.6	2.06k	-0.065	
2.06k	104.5	2.06k	104.5	2.06k	-0.067	
2.06k	104.4	2.06k	104.4	2.06k	-0.068	
2.07k	104.4	2.07k	104.4	2.07k	-0.069	
2.07k	104.3	2.07k	104.3	2.07k	-0.070	
2.07k	104.2	2.07k	104.2	2.07k	-0.072	
2.07k	104.1	2.07k	104.1	2.07k	-0.072	
2.07k	104.1	2.07k	104.1	2.07k	-0.072	
2.07k	104.0	2.07k	104.0	2.07k	-0.073	
2.07k	103.9	2.07k	103.9	2.07k	-0.071	
2.07k	103.9	2.07k	103.8	2.07k	-0.070	
2.07k	103.8	2.07k	103.8	2.07k	-0.070	
2.07k	103.7	2.07k	103.7	2.07k	-0.067	
2.08k	103.7	2.08k	103.6	2.08k	-0.066	
2.08k	103.6	2.08k	103.6	2.08k	-0.067	
2.08k	103.5	2.08k	103.5	2.08k	-0.065	
2.08k	103.5	2.08k	103.4	2.08k	-0.066	
2.08k	103.4	2.08k	103.4	2.08k	-0.066	
2.08k	103.3	2.08k	103.3	2.08k	-0.066	
2.08k	103.3	2.08k	103.2	2.08k	-0.066	
2.08k	103.2	2.08k	103.2	2.08k	-0.066	
2.08k	103.1	2.08k	103.1	2.08k	-0.066	
2.08k	103.1	2.08k	103.0	2.08k	-0.066	
2.09k	103.0	2.09k	103.0	2.09k	-0.067	
2.09k	102.9	2.09k	102.9	2.09k	-0.067	
2.09k	102.9	2.09k	102.8	2.09k	-0.068	
2.09k	102.8	2.09k	102.8	2.09k	-0.070	
2.09k	102.7	2.09k	102.7	2.09k	-0.071	
2.09k	102.6	2.09k	102.6	2.09k	-0.071	
2.09k	102.6	2.09k	102.6	2.09k	-0.074	
2.09k	102.5	2.09k	102.5	2.09k	-0.074	
2.09k	102.4	2.09k	102.4	2.09k	-0.075	
2.09k	102.3	2.09k	102.3	2.09k	-0.076	
2.10k	102.3	2.10k	102.3	2.10k	-0.077	
2.10k	102.2	2.10k	102.2	2.10k	-0.078	
2.10k	102.1	2.10k	102.1	2.10k	-0.078	
2.10k	102.0	2.10k	102.0	2.10k	-0.077	
2.10k	102.0	2.10k	102.0	2.10k	-0.076	
2.10k	101.9	2.10k	101.9	2.10k	-0.076	
2.10k	101.8	2.10k	101.8	2.10k	-0.074	
2.10k	101.7	2.10k	101.7	2.10k	-0.074	
2.10k	101.7	2.10k	101.7	2.10k	-0.072	
2.10k	101.6	2.10k	101.6	2.10k	-0.071	
2.11k	101.5	2.11k	101.5	2.11k	-0.069	
2.11k	101.5	2.11k	101.5	2.11k	-0.069	
2.11k	101.4	2.11k	101.4	2.11k	-0.068	
2.11k	101.3	2.11k	101.3	2.11k	-0.068	
2.11k	101.2	2.11k	101.3	2.11k	-0.068	
2.11k	101.2	2.11k	101.2	2.11k	-0.069	
2.11k	101.1	2.11k	101.1	2.11k	-0.070	
2.11k	101.0	2.11k	101.1	2.11k	-0.072	
2.11k	101.0	2.11k	101.0	2.11k	-0.072	
2.11k	100.9	2.11k	100.9	2.11k	-0.075	
2.12k	100.8	2.12k	100.8	2.12k	-0.076	
2.12k	100.7	2.12k	100.8	2.12k	-0.076	
2.12k	100.7	2.12k	100.7	2.12k	-0.077	
2.12k	100.6	2.12k	100.6	2.12k	-0.077	
2.12k	100.5	2.12k	100.5	2.12k	-0.075	
2.12k	100.4	2.12k	100.5	2.12k	-0.075	
2.12k	100.4	2.12k	100.3	2.12k	-0.074	
2.12k	100.3	2.12k	100.3	2.12k	-0.072	
2.12k	100.2	2.12k	100.2	2.12k	-0.071	
2.12k	100.1	2.12k	100.1	2.12k	-0.069	
2.13k	100.1	2.13k	100.1	2.13k	-0.069	
2.13k	100.0	2.13k	100.0	2.13k	-0.067	
2.13k	99.9	2.13k	99.9	2.13k	-0.068	
2.13k	99.9	2.13k	99.9	2.13k	-0.067	
2.13k	99.8	2.13k	99.8	2.13k	-0.069	
2.13k	99.7	2.13k	99.7	2.13k	-0.070	
2.13k	99.7	2.13k	99.7	2.13k	-0.071	
2.13k	99.6	2.13k	99.6	2.13k	-0.073	
2.13k	99.5	2.13k	99.5	2.13k	-0.075	
2.13k	99.4	2.13k	99.4	2.13k	-0.074	
2.14k	99.4	2.14k	99.4	2.14k	-0.074	
2.14k	99.3	2.14k	99.3	2.14k	-0.075	
2.14k	99.2	2.14k	99.2	2.14k	-0.073	
2.14k	99.2	2.14k	99.1	2.14k	-0.072	
2.14k	99.1	2.14k	99.1	2.14k	-0.071	
2.14k	99.0	2.14k	99.0	2.14k	-0.070	
2.14k	98.9	2.14k	98.9	2.14k	-0.068	
2.14k	98.9	2.14k	98.9	2.14k	-0.068	
2.14k	98.8	2.14k	98.8	2.14k	-0.068	
2.14k	98.7	2.14k	98.7	2.14k	-0.069	
2.15k	98.7	2.15k	98.7	2.15k	-0.069	
2.15k	98.6	2.15k	98.6	2.15k	-0.072	
2.15k	98.5	2.15k	98.5	2.15k	-0.072	
2.15k	98.5	2.15k	98.5	2.15k	-0.075	
2.15k	98.4	2.15k	98.4	2.15k	-0.074	
2.15k	98.3	2.15k	98.3	2.15k	-0.076	
2.15k	98.2	2.15k	98.2	2.15k	-0.076	
2.15k	98.1	2.15k	98.2	2.15k	-0.077	
2.15k	98.1	2.15k	98.1	2.15k	-0.077	
2.15k	98.0	2.15k	98.0	2.15k	-0.077	
2.16k	97.9	2.16k	97.9	2.16k	-0.076	
2.16k	97.8	2.16k	97.9	2.16k	-0.076	
2.16k	97.8	2.16k	97.8	2.16k	-0.075	
2.16k	97.7	2.16k	97.7	2.16k	-0.074	
2.16k	97.6	2.16k	97.6	2.16k	-0.074	
2.16k	97.5	2.16k	97.6	2.16k	-0.071	
2.16k	97.5	2.16k	97.5	2.16k	-0.071	
2.16k	97.4	2.16k	97.4	2.16k	-0.069	
2.16k	97.3	2.16k	97.4	2.16k	-0.068	
2.16k	97.3	2.16k	97.3	2.16k	-0.067	
2.17k	97.2	2.17k	97.2	2.17k	-0.067	
2.17k	97.1	2.17k	97.2	2.17k	-0.066	
2.17k	97.1	2.17k	97.1	2.17k	-0.068	
2.17k	97.0	2.17k	97.0	2.17k	-0.068	
2.17k	96.9	2.17k	97.0	2.17k	-0.070	
2.17k	96.9	2.17k	96.9	2.17k	-0.071	
2.17k	96.8	2.17k	96.8	2.17k	-0.073	
2.17k	96.7	2.17k	96.7	2.17k	-0.073	
2.17k	96.6	2.17k	96.7	2.17k	-0.074	
2.17k	96.6	2.17k	96.6	2.17k	-0.075	
2.18k	96.5	2.18k	96.5	2.18k	-0.075	
2.18k	96.4	2.18k	96.4	2.18k	-0.076	
2.18k	96.3	2.18k	96.4	2.18k	-0.075	
2.18k	96.3	2.18k	96.3	2.18k	-0.075	
2.18k	96.2	2.18k	96.2	2.18k	-0.074	
2.18k	96.1	2.18k	96.1	2.18k	-0.073	
2.18k	96.0	2.18k	96.1	2.18k	-0.072	
2.18k	96.0	2.18k	96.0	2.18k	-0.072	
2.18k	95.9	2.18k	95.9	2.18k	-0.070	
2.18k	95.8	2.18k	95.8	2.18k	-0.069	
2.19k	95.8	2.19k	95.8	2.19k	-0.067	
2.19k	95.7	2.19k	95.7	2.19k	-0.066	
2.19k	95.6	2.19k	95.6	2.19k	-0.065	
2.19k	95.6	2.19k	95.6	2.19k	-0.065	
2.19k	95.5	2.19k	95.5	2.19k	-0.065	
2.19k	95.4	2.19k	95.4	2.19k	-0.066	
2.19k	95.4	2.19k	95.4	2.19k	-0.066	
2.19k	95.3	2.19k	95.3	2.19k	-0.068	
2.19k	95.2	2.19k	95.2	2.19k	-0.069	
2.19k	95.2	2.19k	95.2	2.19k	-0.071	
2.20k	95.1	2.20k	95.1	2.20k	-0.071	
2.20k	95.0	2.20k	95.0	2.20k	-0.072	
2.20k	95.0	2.20k	94.9	2.20k	-0.073	
2.20k	94.9	2.20k	94.9	2.20k	-0.073	
2.20k	94.8	2.20k	94.8	2.20k	-0.074	
2.20k	94.7	2.20k	94.7	2.20k	-0.074	
2.20k	94.7	2.20k	94.7	2.20k	-0.073	
2.20k	94.6	2.20k	94.6	2.20k	-0.073	
2.20k	94.5	2.20k	94.5	2.20k	-0.072	
2.20k	94.4	2.20k	94.5	2.20k	-0.070	
2.21k	94.4	2.21k	94.4	2.21k	-0.070	
2.21k	94.3	2.21k	94.3	2.21k	-0.068	
2.21k	94.2	2.21k	94.2	2.21k	-0.067	
2.21k	94.2	2.21k	94.2	2.21k	-0.065	
2.21k	94.1	2.21k	94.1	2.21k	-0.065	
2.21k	94.0	2.21k	94.0	2.21k	-0.063	
2.21k	94.0	2.21k	94.0	2.21k	-0.064	
2.21k	93.9	2.21k	93.9	2.21k	-0.063	
2.21k	93.9	2.21k	93.8	2.21k	-0.064	
2.21k	93.8	2.21k	93.8	2.21k	-0.066	
2.22k	93.7	2.22k	93.7	2.22k	-0.067	
2.22k	93.7	2.22k	93.6	2.22k	-0.067	
2.22k	93.6	2.22k	93.6	2.22k	-0.069	
2.22k	93.5	2.22k	93.5	2.22k	-0.068	
2.22k	93.4	2.22k	93.5	2.22k	-0.068	
2.22k	93.4	2.22k	93.4	2.22k	-0.069	
2.22k	93.3	2.22k	93.3	2.22k	-0.067	
2.22k	93.2	2.22k	93.2	2.22k	-0.065	
2.22k	93.2	2.22k	93.2	2.22k	-0.065	
2.22k	93.1	2.22k	93.1	2.22k	-0.063	
2.23k	93.1	2.23k	93.0	2.23k	-0.062	
2.23k	93.0	2.23k	93.0	2.23k	-0.062	
2.23k	92.9	2.23k	92.9	2.23k	-0.061	
2.23k	92.9	2.23k	92.9	2.23k	-0.061	
2.23k	92.8	2.23k	92.8	2.23k	-0.061	
2.23k	92.8	2.23k	92.8	2.23k	-0.061	
2.23k	92.7	2.23k	92.7	2.23k	-0.061	
2.23k	92.6	2.23k	92.6	2.23k	-0.060	
2.23k	92.6	2.23k	92.6	2.23k	-0.060	
2.23k	92.5	2.23k	92.5	2.23k	-0.059	
2.24k	92.5	2.24k	92.4	2.24k	-0.060	
2.24k	92.4	2.24k	92.4	2.24k	-0.060	
2.24k	92.3	2.24k	92.3	2.24k	-0.061	
2.24k	92.3	2.24k	92.3	2.24k	-0.062	
2.24k	92.2	2.24k	92.2	2.24k	-0.063	
2.24k	92.1	2.24k	92.1	2.24k	-0.063	
2.24k	92.1	2.24k	92.1	2.24k	-0.065	
2.24k	92.0	2.24k	92.0	2.24k	-0.065	
2.24k	91.9	2.24k	92.0	2.24k	-0.066	
2.24k	91.9	2.24k	91.9	2.24k	-0.067	
2.25k	91.8	2.25k	91.8	2.25k	-0.067	
2.25k	91.7	2.25k	91.7	2.25k	-0.068	
2.25k	91.7	2.25k	91.7	2.25k	-0.067	
2.25k	91.6	2.25k	91.6	2.25k	-0.066	
2.25k	91.5	2.25k	91.6	2.25k	-0.066	
2.25k	91.5	2.25k	91.5	2.25k	-0.065	
2.25k	91.4	2.25k	91.4	2.25k	-0.064	
2.25k	91.4	2.25k	91.3	2.25k	-0.064	
2.25k	91.3	2.25k	91.3	2.25k	-0.062	
2.25k	91.2	2.25k	91.2	2.25k	-0.061	
2.26k	91.2	2.26k	91.2	2.26k	-0.059	
2.26k	91.1	2.26k	91.1	2.26k	-0.059	
2.26k	91.1	2.26k	91.0	2.26k	-0.057	
2.26k	91.0	2.26k	91.0	2.26k	-0.057	
2.26k	90.9	2.26k	90.9	2.26k	-0.057	
2.26k	90.9	2.26k	90.9	2.26k	-0.058	
2.26k	90.8	2.26k	90.8	2.26k	-0.058	
2.26k	90.8	2.26k	90.8	2.26k	-0.060	
2.26k	90.7	2.26k	90.7	2.26k	-0.060	
2.26k	90.6	2.26k	90.7	2.26k	-0.062	
2.27k	90.6	2.27k	90.6	2.27k	-0.062	
2.27k	90.5	2.27k	90.5	2.27k	-0.062	
2.27k	90.5	2.27k	90.4	2.27k	-0.063	
2.27k	90.4	2.27k	90.4	2.27k	-0.063	
2.27k	90.3	2.27k	90.3	2.27k	-0.064	
2.27k	90.3	2.27k	90.3	2.27k	-0.064	
2.27k	90.2	2.27k	90.2	2.27k	-0.063	
2.27k	90.1	2.27k	90.2	2.27k	-0.062	
2.27k	90.1	2.27k	90.1	2.27k	-0.062	
2.27k	90.0	2.27k	90.0	2.27k	-0.061	
2.28k	90.0	2.28k	89.9	2.28k	-0.060	
2.28k	89.9	2.28k	89.9	2.28k	-0.059	
2.28k	89.8	2.28k	89.8	2.28k	-0.059	
2.28k	89.8	2.28k	89.8	2.28k	-0.058	
2.28k	89.7	2.28k	89.7	2.28k	-0.057	
2.28k	89.7	2.28k	89.7	2.28k	-0.056	
2.28k	89.6	2.28k	89.6	2.28k	-0.056	
2.28k	89.6	2.28k	89.5	2.28k	-0.055	
2.28k	89.5	2.28k	89.5	2.28k	-0.055	
2.28k	89.4	2.28k	89.5	2.28k	-0.055	
2.29k	89.4	2.29k	89.4	2.29k	-0.056	
2.29k	89.3	2.29k	89.3	2.29k	-0.056	
2.29k	89.3	2.29k	89.3	2.29k	-0.057	
2.29k	89.2	2.29k	89.2	2.29k	-0.057	
2.29k	89.2	2.29k	89.2	2.29k	-0.058	
2.29k	89.1	2.29k	89.1	2.29k	-0.058	
2.29k	89.0	2.29k	89.1	2.29k	-0.059	
2.29k	89.0	2.29k	89.0	2.29k	-0.061	
2.29k	88.9	2.29k	88.9	2.29k	-0.060	
2.29k	88.9	2.29k	88.9	2.29k	-0.060	
2.30k	88.8	2.30k	88.8	2.30k	-0.060	
2.30k	88.7	2.30k	88.7	2.30k	-0.058	
2.30k	88.7	2.30k	88.7	2.30k	-0.058	
2.30k	88.6	2.30k	88.6	2.30k	-0.058	
2.30k	88.6	2.30k	88.6	2.30k	-0.056	
2.30k	88.5	2.30k	88.5	2.30k	-0.055	
2.30k	88.5	2.30k	88.5	2.30k	-0.054	
2.30k	88.4	2.30k	88.4	2.30k	-0.053	
2.30k	88.4	2.30k	88.3	2.30k	-0.052	
2.30k	88.3	2.30k	88.3	2.30k	-0.053	
2.31k	88.2	2.31k	88.3	2.31k	-0.052	
2.31k	88.2	2.31k	88.2	2.31k	-0.053	
2.31k	88.1	2.31k	88.1	2.31k	-0.054	
2.31k	88.1	2.31k	88.1	2.31k	-0.055	
2.31k	88.0	2.31k	88.0	2.31k	-0.055	
2.31k	88.0	2.31k	88.0	2.31k	-0.057	
2.31k	87.9	2.31k	87.9	2.31k	-0.057	
2.31k	87.9	2.31k	87.9	2.31k	-0.057	
2.31k	87.8	2.31k	87.8	2.31k	-0.058	
2.31k	87.7	2.31k	87.8	2.31k	-0.058	
2.32k	87.7	2.32k	87.7	2.32k	-0.059	
2.32k	87.6	2.32k	87.6	2.32k	-0.058	
2.32k	87.6	2.32k	87.6	2.32k	-0.058	
2.32k	87.5	2.32k	87.5	2.32k	-0.057	
2.32k	87.5	2.32k	87.5	2.32k	-0.056	
2.32k	87.4	2.32k	87.4	2.32k	-0.055	
2.32k	87.4	2.32k	87.3	2.32k	-0.055	
2.32k	87.3	2.32k	87.3	2.32k	-0.053	
2.32k	87.2	2.32k	87.2	2.32k	-0.052	
2.32k	87.2	2.32k	87.2	2.32k	-0.050	
2.33k	87.1	2.33k	87.2	2.33k	-0.050	
2.33k	87.1	2.33k	87.1	2.33k	-0.049	
2.33k	87.0	2.33k	87.0	2.33k	-0.049	
2.33k	87.0	2.33k	87.0	2.33k	-0.049	
2.33k	86.9	2.33k	86.9	2.33k	-0.050	
2.33k	86.9	2.33k	86.9	2.33k	-0.050	
