T	mohm	
91.982	-1.059m	
91.820	-745.060u	
91.661	-1.262m	
91.501	-1.173m	
91.344	-1.365m	
91.186	-1.093m	
91.031	-1.138m	
90.874	-1.396m	
90.719	-1.152m	
90.563	-1.200m	
90.411	-1.372m	
90.257	-1.272m	
90.106	-1.433m	
89.957	-274.180u	
89.806	-895.265u	
89.660	-1.490m	
89.510	-1.545m	
89.361	-1.656m	
89.217	-1.789m	
89.068	-1.829m	
88.925	-1.429m	
88.784	-1.297m	
88.641	-600.815u	
88.494	-1.267m	
88.357	-1.553m	
88.217	-1.452m	
88.081	-1.436m	
87.942	-1.628m	
87.807	-1.819m	
87.672	-2.028m	
87.535	-1.808m	
87.404	-2.801m	
87.271	-1.690m	
87.142	-1.185m	
87.014	-1.748m	
86.885	-1.652m	
86.760	-1.981m	
86.637	-1.668m	
86.515	-1.767m	
86.394	-1.808m	
86.270	-2.526m	
86.154	-1.884m	
86.036	-1.974m	
85.919	-1.739m	
85.801	-1.671m	
85.687	-1.833m	
85.574	-1.493m	
85.460	-1.520m	
85.348	-1.556m	
85.234	-902.415u	
85.128	-1.796m	
85.020	-2.024m	
84.911	-1.940m	
84.805	-2.028m	
84.701	-2.016m	
84.596	-2.109m	
84.497	-2.071m	
84.393	-2.044m	
84.292	-3.588m	
84.193	-2.024m	
84.093	-350.475u	
83.992	-2.141m	
83.889	-1.858m	
83.790	-1.853m	
83.687	-1.789m	
83.574	-1.773m	
83.441	-2.001m	
83.305	-1.018m	
83.182	-1.882m	
83.057	-2.465m	
82.937	-1.848m	
82.818	-1.661m	
82.697	-1.996m	
82.583	-1.969m	
82.467	-1.820m	
82.350	-1.553m	
82.242	-3.353m	
82.135	-1.640m	
82.027	-1.388m	
81.925	-1.944m	
81.822	-1.581m	
81.719	-1.848m	
81.616	-1.837m	
81.516	-1.854m	
81.415	-1.607m	
81.316	-1.813m	
81.219	-2.009m	
81.128	-2.136m	
81.038	-2.192m	
80.954	-2.030m	
80.874	-1.832m	
80.792	-1.842m	
80.719	-2.050m	
80.650	-1.863m	
80.583	-1.652m	
80.512	-1.683m	
80.448	-2.018m	
80.385	-1.743m	
80.322	-1.677m	
80.259	-1.858m	
80.199	-1.514m	
80.135	-1.767m	
80.068	-1.822m	
79.996	-1.645m	
79.924	-2.022m	
79.855	-1.568m	
79.790	-2.434m	
79.733	-2.062m	
79.685	-2.205m	
79.647	-1.938m	
79.611	-2.075m	
79.575	-1.849m	
79.537	-1.631m	
79.497	-1.702m	
79.462	-3.067m	
79.425	-1.742m	
79.391	-1.872m	
79.357	-1.951m	
79.323	-2.109m	
79.288	-3.155m	
79.256	-2.028m	
79.221	-3.335m	
79.187	-1.935m	
79.150	-1.233m	
79.113	-1.805m	
79.072	-5.851m	
79.030	-1.712m	
78.989	-1.985m	
78.951	-1.681m	
78.922	-1.483m	
78.897	-1.438m	
78.878	-1.715m	
78.858	-1.813m	
78.840	-1.947m	
78.821	-1.882m	
78.804	-1.888m	
78.785	-1.785m	
78.766	-1.849m	
78.749	-2.131m	
78.731	-737.905u	
78.712	-1.831m	
78.692	-2.141m	
78.670	-1.863m	
78.649	-1.937m	
78.624	-1.723m	
78.592	-2.043m	
78.572	-1.810m	
78.544	-1.771m	
78.525	-2.097m	
78.514	-2.002m	
